,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
33,2023-10-08,620286.493413252,75010.29106984955,87144.64266628475,304078.3406582061,943564.8777227355,-538550.1961425635,-863283.7105697929,-227451.05626602724,-514018.08837611484,-838354.5803266903,-199004.81569759978,-12104.955609756413,-12898.652081063556,-11291.247827410969,-12427.152156692277,-15789.248070896378,-9358.61208325759,0.0,0.0,0.0,81736.29727068858
34,2023-10-09,620195.4926310823,74128.91441838481,85710.2866848073,304017.2392317513,943404.5716136033,-540990.5506959629,-865718.5960443165,-228774.96010649958,-514018.08837777167,-838354.5803232202,-199004.81569437135,-14787.103762440576,-15472.984997044014,-13974.636400435666,-12185.358555750663,-15618.763952339279,-9052.832316043068,0.0,0.0,0.0,79204.94193511945
35,2023-10-10,620104.4918489126,89120.74002984587,100543.4039140271,303956.13780529646,943244.265504471,-525695.4625844641,-850367.5821769987,-213824.57354807178,-514018.08835937607,-838354.5803186307,-199004.81566001973,266.2305424452055,-417.9134840972025,866.0564715915006,-11943.60476753314,-15258.36727033235,-8881.45552846157,0.0,0.0,0.0,94409.02926444844
36,2023-10-11,620015.0621316294,93730.03743329567,105587.19113691247,303915.7648419923,943076.5568133614,-519941.18778791395,-843636.9287089689,-207346.11458723102,-514018.08836458187,-838354.5803221002,-199004.8156732748,5769.321224317214,5060.470905715775,6468.614036727374,-11692.420647649358,-14823.247119270454,-8466.967956853574,0.0,0.0,0.0,100073.87434371549
37,2023-10-12,619925.6324143462,98067.0131489162,109369.63049112663,303875.3918786882,942908.8481222519,-515573.18666104856,-841100.4496824702,-203245.36627072946,-514018.08836978755,-838354.5803255697,-199004.81568653008,9867.114547242347,9210.163560594741,10416.297566996791,-11422.212838503448,-14577.11535641942,-8194.176936067617,0.0,0.0,0.0,104352.44575329765
38,2023-10-13,619836.202697063,92651.65987824486,104809.22300704036,303835.0189153841,942794.6832074915,-521276.68461967824,-847438.7120936618,-207683.41346375094,-514018.0883714443,-838354.5803220996,-199004.8156833016,3865.1304295850205,3307.400109945327,4399.17937485861,-11123.726677818864,-14222.357303641773,-7947.569591876285,0.0,0.0,0.0,98559.51807738474
39,2023-10-14,619746.7729797799,95181.22584839645,109021.77439991481,303794.64595207997,942705.996735001,-517682.32976713794,-842916.5725893185,-203288.23453843247,-514018.0883766501,-838354.5803255693,-199004.8156965568,7124.262628622127,6401.616924513085,7893.188178702427,-10788.50401910997,-13948.75461636828,-7647.9830034534,0.0,0.0,0.0,102064.44321264193
40,2023-10-15,619657.3432624966,77427.83994740047,89904.78242230834,303754.27298877575,942617.3102625103,-536532.3646385499,-861759.2242030281,-223455.83790362044,-514018.08838185587,-838354.5803290387,-199004.81570981198,-12104.95560978407,-12898.652081087701,-11291.247827437237,-10409.320646909991,-13526.95883842896,-7245.336698483993,0.0,0.0,0.0,83124.97862394678
41,2023-10-16,619567.9135452134,74058.86477700098,86891.9632988084,303713.90002547164,942528.6237900197,-538785.7795677527,-863783.274216885,-225200.71986805886,-514018.0883835127,-838354.5803255687,-199004.81570658353,-14787.103762441315,-15472.984997044578,-13974.636400435658,-9980.587421798713,-13083.608458026394,-6893.961891838258,0.0,0.0,0.0,80782.13397746067
42,2023-10-17,619478.4838279303,90487.04543955064,102260.45640190179,303673.52706216753,942439.9373175291,-523250.55808713357,-847971.0068800879,-209285.78920069808,-514018.0883651171,-838354.5803209791,-199004.8156722319,266.2305424385796,-417.9134841019982,866.0564715827987,-9498.700264455083,-12652.825512929128,-6415.294344509934,0.0,0.0,0.0,96227.92574079672
