pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2024-05-20,101426,135497.65,1598712.63,931077.2833333333,81999
2024-05-21,116025,153612.5,1919230.07,1162704.8166666667,95402
2024-05-22,124248,165359.5,2072313.63,1241927.7833333334,102340
2024-05-23,116345,151069.1,1907475.76,1163621.65,94865
2024-05-24,109581,140008.99,1653349.54,982127.3166666667,84875
2024-05-25,100490,125231.46,1332664.77,779632.75,71379
2024-05-26,91283,119676.46,1205349.39,690056.5333333333,65485
2024-05-27,73550,94481.25,965690.79,526340.4333333333,54276
2024-05-28,99278,128469.76,1582587.55,944672.95,79775
2024-05-29,116043,147427.76,1925361.43,1175502.1166666667,94687
2024-05-30,118450,155204.3,1947130.36,1192217.35,96391
2024-05-31,119217,152309.44,1833308.25,1101444.9833333334,92693
2024-06-01,140932,183430.51,2023137.8,1224576.05,104862
2024-06-02,103315,135440.49,1489838.65,884981.25,78176
2024-06-03,103626,137430.74,1654159.26,974951.1333333333,84476
2024-06-04,117566,155632.81,1955966.72,1195109.8666666667,96873
2024-06-05,126584,168652.95,2125112.01,1303207.1833333333,104689
2024-06-06,131950,170382.89,2215310.62,1378534.2,108777
2024-06-07,132915,174230.13,2062600.44,1248543.8333333333,104501
2024-06-08,140434,187726.25,2028125.99,1234227.8166666667,105392
2024-06-09,102160,141499.19,1487149.08,875740.1166666667,78179
2024-06-10,101324,135349.5,1592432.51,918699.2666666667,81477
2024-06-11,116735,154533.11,1903440.01,1137800.4,95265
2024-06-12,121135,160876.32,1955704.21,1160277.1833333333,98009
2024-06-13,127330,167850.51,2054977.77,1228664.2333333334,102658
2024-06-14,127837,161984.56,1964283.3,1134865.3166666667,99999
2024-06-15,125592,163107.07,1751666.21,1023670.4666666667,93018
2024-06-16,103832,146244.49,1486277.19,790418.4166666666,79482
2024-06-17,98497,131334.6,1500374.15,838110.9,79003
2024-06-18,120198,158465.69,1954330.16,1167508.6166666667,98173
2024-06-19,106781,136035.68,1604870.22,912338.4166666666,83292
2024-06-20,121801,154829.27,1972524.93,1199113.9,98061
2024-06-21,123717,152583.01,1869545.52,1108331.0,95305
2024-06-22,130985,162939.43,1805936.9,1076995.45,95763
2024-06-23,106581,136295.09,1463658.66,839422.9166666666,79112
2024-06-24,104493,138913.14,1632967.9,956730.4666666667,83682
2024-06-25,120264,159529.75,1992528.47,1218228.7166666666,98608
2024-06-26,126318,162811.32,2101428.44,1270091.3333333333,103371
2024-06-27,117472,154521.58,1969884.37,1219939.8833333333,96115
2024-06-28,109567,142119.51,1709990.63,1029177.2166666667,85936
2024-06-29,117761,149836.79,1657788.15,986169.1333333333,86641
2024-06-30,90626,118076.74,1288754.01,742907.9,68137
2024-07-01,82771,108438.31,1236015.29,697768.6666666666,65117
2024-07-02,87812,113436.95,1339762.43,779248.7333333333,69405
2024-07-03,82313,103179.89,1206417.21,697416.0666666667,63510
2024-07-04,65340,80787.2,840068.38,466952.5333333333,46431
2024-07-05,81185,94965.25,1080689.61,595005.2833333333,57463
2024-07-06,82513,95973.76,1048151.73,605836.9833333333,56788
2024-07-07,75576,94315.34,988840.21,554381.8666666667,54347
2024-07-08,87469,110962.11,1314309.06,755281.7,68812
2024-07-09,106607,136921.81,1715190.69,1035203.2833333333,86694
2024-07-10,115504,149050.71,1876270.5,1137952.5833333333,94241
2024-07-11,113569,147452.07,1837966.81,1123194.5,91910
2024-07-12,104562,131026.94,1566397.65,927051.2833333333,80611
2024-07-13,110510,137894.43,1515373.41,911459.5,80400
2024-07-14,96724,131183.39,1336796.23,770618.1333333333,73094
2024-07-15,97158,128491.42,1504120.5,872606.4166666666,78237
2024-07-16,122465,163686.18,2033962.81,1217903.1333333333,100890
2024-07-17,123606,160845.06,2060906.65,1230688.2666666666,101902
2024-07-18,112659,149064.55,1842890.03,1130770.1166666667,91763
2024-07-19,106404,139089.34,1607276.07,949280.75,82668
2024-07-20,113771,147248.08,1579434.69,945866.3,83604
2024-07-21,93819,125536.2,1286386.6,736546.6,69896
2024-07-22,91386,120855.91,1400746.46,805958.2833333333,72813
2024-07-23,104483,136481.68,1686849.67,1018602.6666666666,84979
2024-07-24,109980,145811.53,1780246.1,1082103.5,89416
2024-07-25,109481,142101.32,1764599.17,1083634.8666666667,87544
2024-07-26,102178,129505.97,1525350.64,897473.5333333333,77339
2024-07-27,108185,134229.1,1465110.2,871251.2333333333,76835
2024-07-28,91207,120030.56,1242756.28,711432.4166666666,67022
2024-07-29,85917,110768.63,1295143.59,733504.8166666667,67724
2024-07-30,101574,130390.32,1623383.13,966392.7666666667,81596
2024-07-31,107242,138287.43,1735215.34,1042287.0333333333,86700
2024-08-01,115242,149789.9,1841129.27,1113741.2833333334,92785
2024-08-02,111982,137130.58,1690709.89,998188.0333333333,86417
2024-08-03,119373,149748.56,1704765.8,1046902.4666666667,89181
2024-08-04,88333,112889.69,1194705.71,686260.2,64944
2024-08-05,91216,119151.75,1374968.77,780775.8333333334,71809
2024-08-06,117500,149755.29,1936798.56,1159402.4166666667,95918
2024-08-07,104819,135806.34,1712282.61,1051933.0833333333,85278
2024-08-08,105184,134763.21,1708751.79,1049660.0333333334,85516
2024-08-09,95182,119109.04,1404431.59,812041.5,73099
2024-08-10,102474,130096.2,1421456.94,855888.9666666667,75167
2024-08-11,77834,103426.11,1093996.67,635686.65,58285
2024-08-12,77552,100913.69,1166744.0,660392.2833333333,61233
2024-08-13,90207,118321.88,1409411.68,814514.1333333333,72436
2024-08-14,97846,128461.89,1548717.16,907395.9166666666,78905
2024-08-15,99760,129000.31,1569023.94,930127.4166666666,79553
2024-08-16,97380,121974.15,1430817.62,825319.8333333334,74114
2024-08-17,101422,126160.36,1397598.75,834724.0,73597
2024-08-18,85580,109812.07,1175287.96,671954.1666666666,63550
2024-08-19,77286,98510.65,1187446.71,678435.5333333333,61700
2024-08-20,89051,116266.31,1405191.7,825652.4,71424
2024-08-21,91581,119925.06,1440021.8,842277.55,73478
2024-08-22,92692,120724.33,1452569.57,858981.55,73478
2024-08-23,92463,116500.08,1360054.55,782445.5166666667,70440
2024-08-24,98345,123250.27,1331078.21,788990.5666666667,70772
2024-08-25,84067,109424.14,1137630.7,650273.6333333333,61597
2024-08-26,82021,105620.64,1224074.56,689380.7,64935
2024-08-27,91633,120296.62,1418567.88,824168.9666666667,73266
2024-08-28,101202,130843.35,1570150.82,920402.5166666667,81088
2024-08-29,96395,124708.58,1498053.45,894715.8833333333,76483
2024-08-30,93284,117497.43,1362134.53,796089.5,70549
2024-08-31,96690,119262.25,1265888.02,743892.65,68004
